id,created_date,active_date,expiration_date,unit_retail,unit_cost,uom,product_key,supplier_key
54376d93b2ec46038a77a127c639d898,201266138,1056215435,255391436,235.21262641377325,212.44536178169557,Case,6a2a8b1cb3374fafa09184b0bd79f813,c15ea2b424be4e91932fcfa91f590bd3
66df35b9eca146f6bc43fcc0c83508a7,394723232,1095935372,1391562028,71.62181449324653,51.56906607996751,Pallet,bdcc2d4d19fa4f37aaaff50ddeb5d3b4,c15ea2b424be4e91932fcfa91f590bd3
6c72f21174804a379b3e8b947cb3179a,700154848,1396022685,897332905,363.9958299804361,293.56353992360266,Pallet,b835aa709be94b848b55cac4a9a9dd51,c15ea2b424be4e91932fcfa91f590bd3
38dfdec8de834087aff31d134579d498,1025114164,522421790,711340519,309.7554807222272,284.932531400099,Kit,ce382ecd59ed4b8598f319e61ad9f6e5,c15ea2b424be4e91932fcfa91f590bd3
d6026395103b4ee69d6bd13a91654e1c,1296252610,100061147,809510610,381.18435227115447,43.741255146067715,Kit,6e9ce185e36d442782f0058aeb9ee010,c15ea2b424be4e91932fcfa91f590bd3
a37736f814d846468eee2c52f8cc186b,1299957022,663831318,564350590,356.28939696525697,109.77938430033723,Box,c736573f6d8f469ab879bc0e0d919b58,c15ea2b424be4e91932fcfa91f590bd3
cf8874410fd24ed78f28fbba444ed9bb,1461462663,1345516320,28379033,301.1179950686169,235.13883845964492,Case,ce899ae52e484857988430f3ec2e7bb1,c15ea2b424be4e91932fcfa91f590bd3
fa1ec428ca724fbebd73753e4f173f7d,1457019157,273378511,540038479,176.1533132841796,35.89032775345322,Kit,ebfeb3176b784fdcafe74e54eb966347,c15ea2b424be4e91932fcfa91f590bd3
5e079948609442869d464108d2571f60,1249133961,170678997,1447050763,495.29876230506056,429.4363188968537,Kit,ce899ae52e484857988430f3ec2e7bb1,c15ea2b424be4e91932fcfa91f590bd3
fee53a30933d48508e52f4d6ffae6b71,931887714,326831932,1186402604,212.01947302013758,188.46120403439917,Box,da80eb4711244db4a15bea284c6b9321,c15ea2b424be4e91932fcfa91f590bd3
625f2dd254ad4f29ae48f670997d009b,1040157835,345355740,1049918515,236.3555830797389,194.01263296574413,Case,b5e73eeb90d64aa98dafd63fd01d4a47,c15ea2b424be4e91932fcfa91f590bd3
72ee26e073c6494aa9fc7d23534e456c,1392177314,764734746,45584967,165.8733501375088,70.39088671515165,Case,88b170cb89ef4ccb87da1338c56df551,c15ea2b424be4e91932fcfa91f590bd3
7ad756e986564b8996b933ec0daced51,885790486,481078227,1571378768,356.5441815663615,206.0545036784798,Case,4d187da9763b4e5ba06627f584327092,c15ea2b424be4e91932fcfa91f590bd3
9ff9a37aac28457fb5f3b06072eb6ad2,331978042,754847875,1566565475,230.04732286545334,173.28547898164445,Box,3f7753e305744eeb976032af8e2c1674,c15ea2b424be4e91932fcfa91f590bd3
6fd0c75aa6604646807ea29a3d4ca093,665269979,85311642,1384992701,142.52108597497627,32.515288984786054,Case,7fed0b44e57b43a59d286bd4dc116a41,c15ea2b424be4e91932fcfa91f590bd3
